dt,code,stock_name,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,rise_5,rise_10,rise_15
2026-04-09,300489,光智科技,51,61.44,61.44,50.35,21415238,1265733740,21.66,20,10.24,15.45,26.11,34.47,34.24
2026-04-09,301181,标榜股份,43.97,53.35,53.35,43.18,8838128,435577110,22.87,20,8.89,9.8,33.78,39.55,25.5
2026-04-09,688693,锴威特,65.11,78.5,79.56,64.73,10252895,758412130,22.16,17.3,11.58,26.35,50.21,70.28,88.61
2026-04-09,300843,胜蓝股份,60.01,69.61,71.77,59.6,17225582,1156856780,20.01,14.43,8.78,10.73,25.11,32.62,12.71
2026-04-09,300461,田中精机,65.36,74.55,77.39,64.47,14327680,1037442480,19.73,13.82,9.05,9.97,16.58,61.57,31.95
2026-04-09,300548,长芯博创,200.11,231.86,233,200.11,31415039,6993638000,15.94,12.34,25.47,11.67,45.43,52.13,41.11
2026-04-09,300854,中兰环保,30.44,33.79,33.86,29.49,8644056,274153910,14.36,11.01,3.35,10.63,18.19,27.46,35.21
2026-04-09,002107,沃华医药,6.92,7.65,7.65,6.85,53122291,399872580,11.51,10.07,0.7,9.3,13.33,22.01,10.07
2026-04-09,002328,新朋股份,8.3,9.19,9.19,8.25,91308152,815494160,11.26,10.06,0.84,16,20.92,35.95,25.38
2026-04-09,600743,华远控股,2.2,2.41,2.41,2.09,188596530,425000380,14.61,10.05,0.22,8.04,26.84,24.23,23.59
2026-04-09,000078,海王生物,3.46,3.84,3.84,3.41,305134790,1150325430,12.32,10.03,0.35,11.62,11.3,24.27,16.72
2026-04-09,000889,中嘉博创,3.66,3.95,3.95,3.54,118661126,453154090,11.42,10.03,0.36,13.64,16.18,11.58,10.96
2026-04-09,605189,富春染织,16.02,16.02,16.02,15.9,8875601,142117970,0.82,10.03,1.46,4.57,8.54,15.84,5.81
2026-04-09,002645,华宏科技,19.5,21.29,21.29,19.23,44348925,908460870,10.65,10.03,1.94,7.93,15.52,23.64,35.86
2026-04-09,603958,哈森股份,20.1,22.28,22.28,19.97,12891900,277251320,11.41,10.02,2.03,5.88,8.16,7.17,10.41
2026-04-09,002962,五方光电,14.16,15.37,15.37,14,16179428,245213580,9.81,10.02,1.4,7.73,11.62,9.24,-2.47
2026-04-09,002342,巨力索具,14.5,15.59,15.59,14.5,272642650,4158828000,7.69,10.02,1.42,28.56,9.33,29.81,10.33
