code,industry,industry_detail
SZ301188,医疗器械,医疗耗材
SZ300436,化学制药,化学制剂
SZ301312,自动化设备,工控设备
SZ300834,塑料制品,改性塑料
SZ300149,医疗服务,医疗研发外包
SH688488,生物制品,其他生物制品
SZ301392,专用设备,其他专用设备
SH688668,通信设备,通信网络设备及器件
SH688553,化学制药,化学制剂
SZ301396,IT服务,IT服务
SH688382,化学制药,化学制剂
SZ300970,种植业与林业,其他种植业
SZ301201,医疗服务,医疗研发外包
SH688677,医疗器械,医疗设备
SZ300723,化学制药,化学制剂
SH688759,化学制药,化学制剂
SZ300964,元件,印制电路板
SH688090,自动化设备,机器人
SH688799,化学制药,化学制剂
SH688513,化学制药,化学制剂
SH688025,自动化设备,激光设备
SH688167,半导体,分立器件
SH688314,医疗器械,医疗耗材
SH688506,化学制药,化学制剂
SZ300683,医疗服务,医疗研发外包
SH688068,医疗器械,体外诊断
SZ301596,通用设备,其他通用设备
SZ301080,生物制品,其他生物制品
SH688307,光学光电子,光学元件
SH688282,军工装备,航天装备
SH688331,生物制品,其他生物制品
SH688178,环境治理,综合环境治理
SH688726,光伏设备,光伏加工设备
SZ301421,光学光电子,光学元件
SH688658,化学制药,化学制剂
SH688610,通用设备,仪器仪表
SH688176,化学制药,化学制剂
SH688221,化学制药,化学制剂
SZ301263,化学制药,化学制剂
SZ300831,半导体,分立器件
SZ300486,自动化设备,其他自动化设备
SZ300394,通信设备,通信网络设备及器件
SH688048,半导体,分立器件
SH688180,生物制品,其他生物制品
SH688521,半导体,数字芯片设计
SZ002269,服装家纺,服装
SH688091,化学制药,化学制剂
SH600594,中药,中药
SH600724,房地产,商业地产
SH688073,医疗服务,医疗研发外包
SZ000788,化学制药,化学制剂
SH600249,美容护理,个护用品
SH600643,多元金融,多元金融
SH601083,港口航运,航运
SH603158,汽车零部件,底盘与发动机系统
SZ002645,环境治理,综合环境治理
SZ002579,元件,印制电路板
SZ002083,纺织制造,棉纺
SH601872,港口航运,航运
SZ002923,化学制药,化学制剂
SZ002624,游戏,游戏
SZ002902,通信设备,通信网络设备及器件
SH603937,工业金属,铝
SH605006,建筑材料,玻璃玻纤
SH603912,通用设备,制冷空调设备
SZ002560,电网设备,线缆部件及其他
SH603727,油气开采及服务,油服工程
SH605287,建筑装饰,装饰园林
SZ002432,医疗器械,医疗设备
SZ002821,医疗服务,医疗研发外包
SH605289,建筑装饰,装饰园林
SZ002730,专用设备,能源及重型设备
SH688158,IT服务,IT服务
SH603985,风电设备,风电零部件
SH603778,光伏设备,光伏电池组件
SH603687,包装印刷,包装
SH600666,电子化学品,电子化学品
SZ002940,化学制药,化学制剂
SH603296,消费电子,消费电子零部件及组装
SZ002639,通用设备,制冷空调设备
SH603949,汽车零部件,底盘与发动机系统
SH605162,电力,热力
SZ000815,通信服务,通信应用增值服务
SZ000534,生物制品,其他生物制品
SH603121,汽车零部件,底盘与发动机系统
SZ002558,游戏,游戏
SH600105,通信设备,通信线缆及配套
SH603248,风电设备,风电零部件
SH601579,饮料制造,其他酒类
SH603193,美容护理,个护用品
SH601133,建筑装饰,专业工程
SH603803,通信设备,通信终端及配件
SZ002408,石油加工贸易,石油加工
SH600851,化学制药,化学制剂
SZ002082,中药,中药
SH600488,化学制药,化学制剂
SH601515,包装印刷,包装
SH600545,专用设备,纺织服装设备
SZ000078,医药商业,医药流通
SH688480,环境治理,综合环境治理
SH688205,通信设备,通信网络设备及器件
SZ301191,通信设备,通信终端及配件
SH600746,化学原料,煤化工
SZ301326,消费电子,消费电子零部件及组装
SH688308,通用设备,金属制品
SZ300936,元件,印制电路板
SH688376,环保设备,环保设备
SZ301373,化学制品,其他化学制品
SZ301055,家居用品,其他家居用品
SH688312,自动化设备,其他自动化设备
SH600875,其他电源设备,其他电源设备
SZ301176,元件,印制电路板
SH688351,医疗器械,医疗耗材
SH688192,化学制药,化学制剂
SZ300835,金属新材料,磁性材料
SZ300911,厨卫电器,厨卫电器
SH688062,生物制品,其他生物制品
SH688627,专用设备,其他专用设备
SH600754,旅游及酒店,酒店
SH688046,医疗服务,医疗研发外包
SZ300759,医疗服务,医疗研发外包
SZ300204,化学制药,化学制剂
SZ300765,化学制药,原料药
SZ300671,半导体,模拟芯片设计
SH600513,化学制药,化学制剂
SH600258,旅游及酒店,酒店
SZ002015,电力,新能源发电
SH603196,服装家纺,服装
SZ301133,汽车零部件,车身附件及饰件
SZ300461,自动化设备,其他自动化设备
SH688656,医疗器械,体外诊断
SH603127,医疗服务,医疗研发外包
SZ300806,塑料制品,膜材料
SH688222,医疗服务,医疗研发外包
SH688293,医疗服务,医疗研发外包
SZ300113,通信服务,通信应用增值服务
SH600590,军工电子,军工电子
SZ001400,专用设备,其他专用设备
SH603306,汽车零部件,车身附件及饰件
SZ300284,建筑装饰,工程咨询服务
SH688712,医疗器械,医疗耗材
SH688017,自动化设备,机器人
SZ002443,钢铁,特钢
SH688362,半导体,集成电路封测
SZ300018,电网设备,电气自控设备
SZ301509,医疗服务,医疗研发外包
SZ301230,医疗服务,医疗研发外包
SH603685,光学光电子,LED
SH688629,军工电子,军工电子
SH688249,半导体,集成电路制造
SH688197,化学制药,化学制剂
SH688321,化学制药,化学制剂
SH688585,塑料制品,合成树脂
SH688238,医疗服务,医疗研发外包
SZ002294,化学制药,化学制剂
SZ002932,医疗器械,体外诊断
SZ002602,游戏,游戏
SH603017,建筑装饰,工程咨询服务
SZ002020,化学制药,化学制剂
SH688208,计算机设备,其他计算机设备
SH688347,半导体,集成电路制造
SZ003010,互联网电商,互联网电商
SH688679,环境治理,固废治理
SH600026,港口航运,航运
SZ002729,其他电子,其他电子
SZ300991,其他电子,其他电子
SZ300700,通用设备,磨具磨料
SH688383,专用设备,其他专用设备
SH688108,医疗器械,医疗耗材
SZ301568,自动化设备,其他自动化设备
SZ002517,游戏,游戏
SZ000951,汽车整车,商用载货车
SH600801,建筑材料,水泥
SH688502,光学光电子,光学元件
SH603819,电机,电机
SZ002755,化学制药,化学制剂
SZ300559,软件开发,垂直应用软件
SH688370,环境治理,固废治理
SZ002980,电网设备,电气自控设备
SZ000967,环保设备,环保设备
SH688621,医疗服务,医疗研发外包
SH601058,汽车零部件,轮胎轮毂
SH603150,白色家电,家电零部件
SH603986,半导体,数字芯片设计
SZ300363,医疗服务,医疗研发外包
SZ300122,生物制品,疫苗
SH688785,半导体,半导体设备
SH688443,生物制品,其他生物制品
SH688356,化学制药,原料药
SZ301489,电子化学品,电子化学品
SH688520,生物制品,其他生物制品
SH688235,化学制药,化学制剂
SZ002307,建筑装饰,基础建设
SH688256,半导体,数字芯片设计
SH688556,光伏设备,光伏加工设备
SH688566,化学制药,化学制剂
SH688809,半导体,半导体设备
SZ003041,服装家纺,家纺
