dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-22,000786,26.7,28.0,28.3,26.47,596627.0,1652326512.29,6.86,4.99,1.33,3.53,000786,北新建材
2025-12-10,000995,12.12,13.05,13.33,12.12,225628.0,295451846.23,9.98,7.67,0.93,12.72,000995,皇台酒业
2026-01-26,002068,9.16,9.51,9.64,8.9,45271485.0,421330030.0,8.110000000000001,4.16,0.38,6.16,002068,黑猫股份
2026-01-26,002385,4.08,4.19,4.2,4.07,228562170.0,948297770.0,3.19,2.7,0.11,6.49,002385,大北农
2026-01-26,002575,6.32,6.95,6.95,6.21,83628406.0,553376310.0,11.709999999999999,9.969999999999999,0.63,14.280000000000001,002575,群兴玩具
2026-01-26,002880,26.85,27.79,27.84,26.7,3850217.0,105001833.0,4.279999999999999,4.3999999999999995,1.17,1.7000000000000002,002880,卫光生物
2026-01-26,300017,11.66,13.78,13.78,11.66,527786120.0,6926671700.0,18.47,20.03,2.3,22.89,300017,网宿科技
2026-01-26,300383,15.03,15.64,16.5,15.03,214109160.0,3367430100.0,10.17,8.16,1.18,11.93,300383,光环新网
2026-01-26,300697,18.5,18.79,19.39,18.42,42310510.0,796367280.0,5.33,3.19,0.58,21.0,300697,电工合金
2026-01-22,300737,5.85,6.96,6.96,5.8,1268933.0,818938226.45,20.0,20.0,1.16,14.31,300737,科顺股份
2026-01-22,300775,32.7,39.49,39.49,32.7,1085978.0,4102890503.68,20.63,19.99,6.58,20.43,300775,三角防务
2026-01-26,300784,54.23,55.58,57.4,54.23,2577098.0,144364770.0,5.8500000000000005,2.53,1.37,15.22,300784,利安科技
2025-12-15,600199,9.85,10.13,10.18,9.83,235427.0,237158152.0,3.6,4.11,0.4,3.58,600199,金种子酒
2026-01-23,600216,14.42,14.73,14.99,14.36,363130.0,533170790.0,4.38,2.43,0.35,3.82,600216,浙江医药
2026-01-26,600256,5.31,5.54,5.6,5.31,436820220.0,2387626900.0,5.53,5.7299999999999995,0.3,6.83,600256,广汇能源
2026-01-07,600792,4.04,4.23,4.3,3.96,766583.0,316558588.0,8.52,6.02,0.24,6.91,600792,云煤能源
2026-01-26,600821,5.65,5.76,5.92,5.65,125498328.0,725876080.0,4.859999999999999,3.5999999999999996,0.2,6.279999999999999,600821,金开新能
2026-01-07,601011,3.38,3.58,3.58,3.38,1626416.0,569117839.0,5.93,6.23,0.21,8.49,601011,宝泰隆
2026-01-26,601390,5.34,5.8,5.84,5.33,1400726700.0,7805767200.0,9.6,9.229999999999999,0.49,6.84,601390,中国中铁
2026-01-26,603958,14.34,15.11,15.11,14.21,11214300.0,165815630.0,6.550000000000001,9.969999999999999,1.37,5.11,603958,哈森股份
2026-01-21,603980,5.67,5.94,6.09,5.56,854997.0,498410833.0,9.55,7.03,0.39,12.63,603980,吉华集团
