dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-06,000008,2.87,3.15,3.15,2.85,2031309.0,625061931.35,10.49,10.14,0.29,7.48,000008,神州高铁
2025-12-24,000032,20.37,20.72,21.38,20.33,697611.0,1457654369.25,5.4,6.58,1.28,6.13,000032,深桑达Ａ
2026-01-06,000100,4.64,4.93,5.01,4.64,15693598.0,7662980103.64,8.13,8.35,0.38,8.67,000100,TCL科技
2025-12-23,000151,12.08,12.62,13.26,11.98,173415.0,219558265.86,10.55,4.04,0.49,5.63,000151,中成股份
2025-12-29,000158,20.45,20.93,21.26,20.4,972700.0,2034201133.11,4.24,3.1,0.63,6.13,000158,常山北明
2026-01-13,000400,27.75,29.0,30.27,27.25,1003193.0,2876288798.98,10.89,4.54,1.26,9.92,000400,许继电气
2025-12-26,000420,4.09,4.23,4.39,4.08,1555393.0,657882821.43,7.58,3.42,0.14,6.33,000420,吉林化纤
2025-12-29,000420,4.45,4.65,4.65,4.43,2499355.0,1157348553.46,5.2,9.93,0.42,10.17,000420,吉林化纤
2025-12-19,000501,10.04,10.57,10.78,9.93,558322.0,581787663.45,8.45,5.07,0.51,7.27,000501,武商集团
2026-01-05,000516,4.33,4.72,4.72,4.33,577752.0,267453395.11,9.09,10.02,0.43,2.62,000516,国际医学
2025-12-22,000523,3.9,4.1,4.1,3.85,1418502.0,571525288.56,6.7,9.92,0.37,10.7,000523,红棉股份
2025-12-10,000526,38.01,39.91,41.64,37.55,64596.0,254772898.36,10.79,5.33,2.02,5.41,000526,学大教育
2025-12-10,000532,14.3,15.72,15.72,14.14,178718.0,274276960.6,11.06,10.01,1.43,5.2,000532,华金资本
2025-12-12,000533,8.0,8.72,8.72,8.0,992894.0,832889295.32,9.08,9.96,0.79,14.5,000533,顺钠股份
2025-12-15,000533,8.72,8.95,9.16,8.68,1585007.0,1423345460.61,5.5,2.64,0.23,23.14,000533,顺钠股份
2025-12-23,000543,8.5,8.74,8.96,8.49,874059.0,764882308.38,5.61,4.3,0.36,3.86,000543,皖能电力
2025-12-22,000551,11.4,12.53,12.53,11.4,685330.0,841506872.94,9.92,10.01,1.14,14.19,000551,创元科技
2025-12-26,000559,13.5,13.63,14.11,13.43,3099330.0,4258061454.25,5.06,1.41,0.19,9.35,000559,万向钱潮
2025-12-15,000565,7.34,7.74,8.05,7.26,338156.0,262191051.16,10.76,5.45,0.4,7.8,000565,渝三峡Ａ
