"dt","code","stock_name","price_open","price_close","price_highest","price_lowest","trade","trade_amount","amplitude","rise","amount_increase_decrease","turnover_rate"
"2026-03-31","301008","宏昌科技","41.45","42.29","42.29","37.85","28869140","1158767700","0.126","0.2001","7.05","0.2492"
"2026-03-31","301255","通力科技","24.4","29.76","29.76","24.4","8654391","243220760","0.2161","0.2","4.96","0.2273"
"2026-03-31","301079","邵阳液压","37","44.76","44.76","37","18241069","778569390","0.208","0.2","7.46","0.2624"
"2026-03-31","300992","泰福泵业","33.51","41.88","41.88","32.6","15634493","588926350","0.2659","0.2","6.98","0.2017"
"2026-03-31","300834","星辉环材","30.18","30.2","30.2","28.01","11395193","341444590","0.087","0.1998","5.03","0.0592"
"2026-03-31","301048","金鹰重工","10.81","13.09","13.09","10.81","49130691","612448140","0.209","0.1998","2.18","0.0921"
"2026-03-31","688288","鸿泉技术","27.11","30.6","31.58","26.37","14300189","410467670","0.1979","0.1626","4.28","0.1433"
"2026-03-31","300960","通业科技","24.08","27.49","27.99","24.08","10437577","278727200","0.163","0.1459","3.5","0.0798"
"2026-03-31","688677","海泰新光","49.8","54.69","57.4","49.5","14909981","794227620","0.1652","0.1434","6.86","0.1244"
"2026-03-31","688455","科捷智能","24.24","27.17","27.78","24.24","8614748","229868520","0.1476","0.1326","3.18","0.0513"
"2026-03-31","301323","新莱福","55.65","62.86","64.8","55.48","6999599","427715890","0.1668","0.1249","6.98","0.1034"
"2026-03-31","300825","阿尔特","8.38","9.4","9.65","8.38","36787954","338058170","0.1519","0.1244","1.04","0.0759"
"2026-03-31","300411","金盾股份","10.06","11.21","11.3","10.05","22593662","244594690","0.1243","0.1143","1.15","0.0731"
"2026-03-31","301179","泽宇智能","22.98","25.35","25.9","22.66","34416326","851725460","0.1424","0.1138","2.59","0.1449"
"2026-03-31","601908","京运通","4.49","5.01","5.01","4.4","196819790","964440250","0.1341","0.1011","0.46","0.0815"
"2026-03-31","000008","神州高铁","3.25","3.27","3.27","3.13","161755980","524434250","0.0471","0.101","0.3","0.0596"
"2026-03-31","000030","富奥股份","5.07","5.56","5.56","5.07","51120274","276270290","0.097","0.101","0.51","0.0306"
"2026-03-31","002578","闽发铝业","4.67","4.69","4.69","4.6","79597630","372904760","0.0211","0.1009","0.43","0.0924"
"2026-03-31","688758","赛分科技","18.77","19.65","20.19","18.11","10241025","199347410","0.1165","0.1008","1.8","0.0343"
"2026-03-31","600488","津药药业","4.99","5.24","5.24","4.97","89779595","466914880","0.0567","0.1008","0.48","0.0822"
"2026-03-31","000720","新能泰山","4.6","5.46","5.46","4.59","193726660","982547640","0.1754","0.1008","0.5","0.1542"
"2026-03-31","002542","中化岩土","2.97","3.28","3.28","2.95","37159105","120705072","0.1107","0.1007","0.3","0.0211"
"2026-03-31","603660","苏州科达","8.83","9.74","9.74","8.83","35791558","336991120","0.1028","0.1006","0.89","0.0626"
"2026-03-31","000631","顺发恒能","4.27","4.27","4.27","4.22","115143576","491622260","0.0129","0.1005","0.39","0.0501"
"2026-03-31","605162","新中港","10.2","11.61","11.61","10.16","32621079","363563960","0.1374","0.1005","1.06","0.0814"
