dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-20,600000,11.1,11.03,11.11,10.94,735259.0,0.0,0.0,0.0,-0.07,0.0,600000,浦发银行
2026-01-20,600004,9.49,9.62,9.63,9.46,331622.0,0.0,0.0,0.0,0.13,0.0,600004,白云机场
2026-01-20,600006,7.36,7.31,7.39,7.28,181236.0,0.0,0.0,0.0,-0.05,0.0,600006,东风股份
2026-01-20,600007,19.67,19.91,19.92,19.55,25493.0,0.0,0.0,0.0,0.24,0.0,600007,中国国贸
2026-01-20,600008,3.02,3.07,3.08,3.01,1204859.0,0.0,0.0,0.0,0.05,0.0,600008,首创环保
2026-01-20,600009,31.72,32.37,32.45,31.67,206947.0,0.0,0.0,0.0,0.65,0.0,600009,上海机场
2026-01-20,600010,2.33,2.37,2.4,2.31,12870909.0,0.0,0.0,0.0,0.04,0.0,600010,包钢股份
2026-01-20,600011,7.46,7.54,7.54,7.41,824378.0,0.0,0.0,0.0,0.08,0.0,600011,华能国际
2026-01-20,600012,14.22,14.53,14.55,14.17,44730.0,0.0,0.0,0.0,0.31,0.0,600012,皖通高速
2026-01-20,600015,6.46,6.56,6.57,6.46,602929.0,0.0,0.0,0.0,0.1,0.0,600015,华夏银行
2026-01-20,600016,3.75,3.8,3.8,3.74,3073297.0,0.0,0.0,0.0,0.05,0.0,600016,民生银行
2026-01-20,600017,3.05,3.08,3.08,3.04,412653.0,0.0,0.0,0.0,0.03,0.0,600017,日照港
2026-01-20,600018,5.2,5.25,5.26,5.18,341343.0,0.0,0.0,0.0,0.05,0.0,600018,上港集团
2026-01-20,600019,7.15,7.26,7.26,7.13,1424667.0,0.0,0.0,0.0,0.11,0.0,600019,宝钢股份
2026-01-20,600020,4.31,4.37,4.38,4.3,177833.0,0.0,0.0,0.0,0.06,0.0,600020,中原高速
2026-01-20,600021,21.95,23.68,24.0,21.55,2631923.0,0.0,0.0,0.0,1.73,0.0,600021,上海电力
2026-01-20,600022,1.52,1.55,1.56,1.51,1259150.0,0.0,0.0,0.0,0.03,0.0,600022,山东钢铁
2026-01-20,600023,5.0,5.03,5.04,4.98,932995.0,0.0,0.0,0.0,0.03,0.0,600023,浙能电力
2026-01-20,600025,9.23,9.35,9.36,9.21,422312.0,0.0,0.0,0.0,0.12,0.0,600025,华能水电
2026-01-20,600026,14.71,14.54,14.85,14.15,450404.0,0.0,0.0,0.0,-0.17,0.0,600026,中远海能
2026-01-20,600027,4.99,5.05,5.06,4.98,1095704.0,0.0,0.0,0.0,0.06,0.0,600027,华电国际
2026-01-20,600028,5.92,6.01,6.05,5.9,2279661.0,0.0,0.0,0.0,0.09,0.0,600028,中国石化
2026-01-20,600029,7.8,8.13,8.17,7.75,936048.0,0.0,0.0,0.0,0.33,0.0,600029,南方航空
2026-01-20,600030,27.93,28.05,28.15,27.91,1385133.0,0.0,0.0,0.0,0.12,0.0,600030,中信证券
2026-01-20,600031,22.2,22.55,22.63,22.13,1004541.0,0.0,0.0,0.0,0.35,0.0,600031,三一重工
2026-01-20,600032,7.96,8.0,8.01,7.9,137436.0,0.0,0.0,0.0,0.04,0.0,600032,浙江新能
2026-01-20,600033,3.84,3.83,3.84,3.77,358720.0,0.0,0.0,0.0,-0.01,0.0,600033,福建高速
2026-01-20,600035,3.93,3.98,3.98,3.92,138707.0,0.0,0.0,0.0,0.05,0.0,600035,楚天高速
2026-01-20,600036,38.57,38.73,39.13,38.51,1113873.0,0.0,0.0,0.0,0.16,0.0,600036,招商银行
2026-01-20,600037,7.83,7.81,7.88,7.76,179921.0,0.0,0.0,0.0,-0.02,0.0,600037,歌华有线
2026-01-20,600038,37.64,37.69,38.97,37.4,150696.0,0.0,0.0,0.0,0.05,0.0,600038,中直股份
2026-01-20,600039,10.31,10.43,10.55,10.2,235569.0,0.0,0.0,0.0,0.12,0.0,600039,四川路桥
2026-01-20,600048,6.29,6.53,6.68,6.28,4203054.0,0.0,0.0,0.0,0.24,0.0,600048,保利发展
2026-01-20,600050,5.15,5.14,5.15,5.11,2329001.0,0.0,0.0,0.0,-0.01,0.0,600050,中国联通
2026-01-20,600051,7.82,7.85,7.87,7.78,62312.0,0.0,0.0,0.0,0.03,0.0,600051,宁波联合
2026-01-20,600052,4.68,4.69,4.81,4.65,146243.0,0.0,0.0,0.0,0.01,0.0,600052,东望时代
2026-01-20,600053,23.85,23.37,24.22,23.18,154377.0,0.0,0.0,0.0,-0.48,0.0,600053,九鼎投资
2026-01-20,600054,11.85,12.03,12.11,11.73,152548.0,0.0,0.0,0.0,0.18,0.0,600054,XD黄山旅
2026-01-20,600055,16.94,16.63,16.97,16.57,67760.0,0.0,0.0,0.0,-0.31,0.0,600055,万东医疗
2026-01-20,600056,10.62,10.66,10.66,10.59,106737.0,0.0,0.0,0.0,0.04,0.0,600056,中国医药
2026-01-20,600057,8.55,8.62,8.63,8.47,217453.0,0.0,0.0,0.0,0.07,0.0,600057,厦门象屿
2026-01-20,600058,13.95,15.27,15.49,13.7,1054453.0,0.0,0.0,0.0,1.32,0.0,600058,五矿发展
2026-01-20,600059,9.29,9.36,9.37,9.27,129209.0,0.0,0.0,0.0,0.07,0.0,600059,古越龙山
2026-01-20,600060,23.63,24.02,24.04,23.52,117372.0,0.0,0.0,0.0,0.39,0.0,600060,海信视像
2026-01-20,600061,7.65,7.66,7.68,7.61,305818.0,0.0,0.0,0.0,0.01,0.0,600061,国投资本
2026-01-20,600062,18.56,18.71,18.72,18.53,71969.0,0.0,0.0,0.0,0.15,0.0,600062,华润双鹤
2026-01-20,600063,6.72,6.83,6.85,6.64,582419.0,0.0,0.0,0.0,0.11,0.0,600063,皖维高新
2026-01-20,600064,8.7,8.98,9.0,8.69,384331.0,0.0,0.0,0.0,0.28,0.0,600064,南京高科
2026-01-20,600066,32.01,32.21,32.28,31.79,132479.0,0.0,0.0,0.0,0.2,0.0,600066,宇通客车
2026-01-20,600067,4.51,4.5,4.58,4.42,677959.0,0.0,0.0,0.0,-0.01,0.0,600067,冠城新材
2026-01-20,600071,21.62,21.69,21.97,21.49,58877.0,0.0,0.0,0.0,0.07,0.0,600071,凤凰光学
2026-01-20,600072,11.89,11.77,11.95,11.72,133662.0,0.0,0.0,0.0,-0.12,0.0,600072,中船科技
2026-01-20,600073,6.74,6.96,7.08,6.7,588691.0,0.0,0.0,0.0,0.22,0.0,600073,光明肉业
2026-01-20,600075,5.75,6.26,6.34,5.74,1176790.0,0.0,0.0,0.0,0.51,0.0,600075,新疆天业
2026-01-20,600076,4.25,4.72,4.72,4.23,983427.0,0.0,0.0,0.0,0.47,0.0,600076,康欣新材
2026-01-20,600078,10.55,10.71,10.81,10.38,411646.0,0.0,0.0,0.0,0.16,0.0,600078,澄星股份
2026-01-20,600079,18.29,18.32,18.41,18.27,133078.0,0.0,0.0,0.0,0.03,0.0,600079,ST人福
2026-01-20,600080,7.99,8.02,8.06,7.88,76260.0,0.0,0.0,0.0,0.03,0.0,600080,金花股份
2026-01-20,600081,12.15,12.16,12.23,12.08,26693.0,0.0,0.0,0.0,0.01,0.0,600081,东风科技
2026-01-20,600082,4.22,4.29,4.32,4.2,196213.0,0.0,0.0,0.0,0.07,0.0,600082,海泰发展
2026-01-20,600084,5.89,5.87,5.9,5.83,57430.0,0.0,0.0,0.0,-0.02,0.0,600084,中信尼雅
2026-01-20,600085,31.28,31.35,31.6,31.18,78376.0,0.0,0.0,0.0,0.07,0.0,600085,同仁堂
2026-01-20,600088,17.18,17.12,17.34,16.97,73862.0,0.0,0.0,0.0,-0.06,0.0,600088,中视传媒
2026-01-20,600089,30.9,30.78,32.99,29.11,8515238.0,0.0,0.0,0.0,-0.12,0.0,600089,特变电工
2026-01-20,600094,5.13,5.09,5.28,5.07,410469.0,0.0,0.0,0.0,-0.04,0.0,600094,大名城
2026-01-20,600095,11.35,11.41,11.58,11.31,490830.0,0.0,0.0,0.0,0.06,0.0,600095,湘财股份
2026-01-20,600096,36.15,36.07,36.44,35.21,517317.0,0.0,0.0,0.0,-0.08,0.0,600096,云天化
2026-01-20,600097,12.12,12.17,12.24,12.04,74079.0,0.0,0.0,0.0,0.05,0.0,600097,开创国际
2026-01-20,600098,6.75,6.91,6.91,6.74,394496.0,0.0,0.0,0.0,0.16,0.0,600098,广州发展
2026-01-20,600099,10.79,10.76,10.85,10.69,28856.0,0.0,0.0,0.0,-0.03,0.0,600099,林海股份
2026-01-20,600100,9.64,9.26,9.65,9.19,1055259.0,0.0,0.0,0.0,-0.38,0.0,600100,同方股份
2026-01-20,600101,10.05,10.43,10.44,9.96,512503.0,0.0,0.0,0.0,0.38,0.0,600101,明星电力
2026-01-20,600103,4.01,3.91,4.02,3.88,1613596.0,0.0,0.0,0.0,-0.1,0.0,600103,青山纸业
2026-01-20,600104,15.28,15.28,15.4,15.22,784916.0,0.0,0.0,0.0,0.0,0.0,600104,上汽集团
2026-01-20,600105,27.02,25.22,27.4,24.89,1668976.0,0.0,0.0,0.0,-1.8,0.0,600105,永鼎股份
2026-01-20,600106,6.55,6.67,6.73,6.5,325660.0,0.0,0.0,0.0,0.12,0.0,600106,重庆路桥
2026-01-20,600107,7.01,6.81,7.01,6.77,45477.0,0.0,0.0,0.0,-0.2,0.0,600107,ST尔雅
2026-01-20,600108,3.49,3.49,3.53,3.44,549981.0,0.0,0.0,0.0,0.0,0.0,600108,亚盛集团
2026-01-20,600109,9.36,9.4,9.42,9.33,321567.0,0.0,0.0,0.0,0.04,0.0,600109,国金证券
2026-01-20,600110,7.34,7.08,7.59,7.01,1133156.0,0.0,0.0,0.0,-0.26,0.0,600110,诺德股份
2026-01-20,600111,51.1,49.62,51.56,48.76,1205924.0,0.0,0.0,0.0,-1.48,0.0,600111,北方稀土
2026-01-20,600113,60.96,60.22,62.0,59.55,31209.0,0.0,0.0,0.0,-0.74,0.0,600113,浙江东日
2026-01-20,600114,34.7,34.32,35.6,34.02,415172.0,0.0,0.0,0.0,-0.38,0.0,600114,东睦股份
2026-01-20,600115,6.13,6.36,6.48,6.09,1763254.0,0.0,0.0,0.0,0.23,0.0,600115,中国东航
2026-01-20,600116,6.67,6.73,6.74,6.65,157258.0,0.0,0.0,0.0,0.06,0.0,600116,三峡水利
2026-01-20,600117,2.88,2.88,2.92,2.84,283654.0,0.0,0.0,0.0,0.0,0.0,600117,西宁特钢
2026-01-20,600118,105.99,98.04,106.98,95.16,1152206.0,0.0,0.0,0.0,-7.95,0.0,600118,中国卫星
2026-01-20,600119,7.99,8.02,8.09,7.95,71329.0,0.0,0.0,0.0,0.03,0.0,600119,长江投资
2026-01-20,600120,6.75,6.66,6.76,6.61,757291.0,0.0,0.0,0.0,-0.09,0.0,600120,浙江东方
2026-01-20,600121,4.51,4.69,4.77,4.47,1053507.0,0.0,0.0,0.0,0.18,0.0,600121,郑州煤电
2026-01-20,600123,6.05,6.08,6.09,6.01,189325.0,0.0,0.0,0.0,0.03,0.0,600123,兰花科创
2026-01-20,600125,6.38,6.5,6.52,6.35,231088.0,0.0,0.0,0.0,0.12,0.0,600125,铁龙物流
2026-01-20,600126,8.66,8.52,8.8,8.46,550783.0,0.0,0.0,0.0,-0.14,0.0,600126,杭钢股份
2026-01-20,600127,6.77,6.79,6.8,6.75,132515.0,0.0,0.0,0.0,0.02,0.0,600127,金健米业
2026-01-20,600128,11.43,11.54,11.68,11.39,66147.0,0.0,0.0,0.0,0.11,0.0,600128,苏豪弘业
2026-01-20,600129,18.47,18.28,18.55,18.21,75160.0,0.0,0.0,0.0,-0.19,0.0,600129,太极集团
2026-01-20,600130,4.5,4.37,4.51,4.28,242111.0,0.0,0.0,0.0,-0.13,0.0,600130,*ST波导
2026-01-20,600131,18.6,18.77,19.2,18.55,394993.0,0.0,0.0,0.0,0.17,0.0,600131,国网信通
2026-01-20,600132,52.2,52.79,52.8,52.0,37749.0,0.0,0.0,0.0,0.59,0.0,600132,重庆啤酒
2026-01-20,600133,10.2,10.25,10.5,10.02,740244.0,0.0,0.0,0.0,0.05,0.0,600133,东湖高新
2026-01-20,600135,10.9,10.28,10.9,10.15,314111.0,0.0,0.0,0.0,-0.62,0.0,600135,乐凯胶片
2026-01-20,600136,1.66,1.67,1.68,1.65,125888.0,0.0,0.0,0.0,0.01,0.0,600136,ST明诚
2026-01-20,600137,20.1,20.17,20.35,19.94,16814.0,0.0,0.0,0.0,0.07,0.0,600137,浪莎股份
2026-01-20,600138,10.17,10.22,10.24,10.09,194659.0,0.0,0.0,0.0,0.05,0.0,600138,中青旅
2026-01-20,600141,41.8,41.38,42.86,40.51,237445.0,0.0,0.0,0.0,-0.42,0.0,600141,兴发集团
2026-01-20,600143,20.7,20.64,21.08,20.3,1106128.0,0.0,0.0,0.0,-0.06,0.0,600143,金发科技
2026-01-20,600148,21.1,20.97,21.25,20.77,21997.0,0.0,0.0,0.0,-0.13,0.0,600148,长春一东
2026-01-20,600149,5.35,5.38,5.39,5.3,77532.0,0.0,0.0,0.0,0.03,0.0,600149,廊坊发展
2026-01-20,600150,35.7,35.57,36.05,35.35,560928.0,0.0,0.0,0.0,-0.13,0.0,600150,中国船舶
2026-01-20,600151,16.73,16.23,17.39,15.26,2465708.0,0.0,0.0,0.0,-0.5,0.0,600151,航天机电
2026-01-20,600152,7.67,7.46,7.73,7.4,235134.0,0.0,0.0,0.0,-0.21,0.0,600152,维科技术
2026-01-20,600153,8.92,9.23,9.28,8.89,452541.0,0.0,0.0,0.0,0.31,0.0,600153,建发股份
2026-01-20,600155,6.85,6.85,6.88,6.81,223266.0,0.0,0.0,0.0,0.0,0.0,600155,华创云信
2026-01-20,600156,8.11,8.19,8.42,8.02,107058.0,0.0,0.0,0.0,0.08,0.0,600156,华升股份
2026-01-20,600157,1.63,1.66,1.67,1.61,9156819.0,0.0,0.0,0.0,0.03,0.0,600157,永泰能源
2026-01-20,600158,9.1,9.18,9.25,9.04,329152.0,0.0,0.0,0.0,0.08,0.0,600158,中体产业
2026-01-20,600159,2.84,2.87,2.89,2.8,220692.0,0.0,0.0,0.0,0.03,0.0,600159,大龙地产
2026-01-20,600160,39.43,39.29,39.62,38.3,302140.0,0.0,0.0,0.0,-0.14,0.0,600160,巨化股份
